Tipo criterio,Estratégia,Maturidade Tecnológica (TRL),CAPEX,O&M,Custo Marginal de Abatimento de CO2,Criação de Emprego,Bem-estar,Coesão social,Educação ambiental,Regulação climática,Qualidade do ar
Tecno-economico,Parques urbanos,5,4,3,5,3,5,5,5,5,4
Tecno-economico,Árvores de arruamento,5,3,3,4,3,4,4,4,3,3
Tecno-economico,Hortas Urbanas,5,4,5,4,0,5,5,5,3,2
Tecno-economico,Telhados e paredes verdes,4,3,3,4,4,3,3,4,4,2
Tecno-economico,Florestas geridas,5,4,4,5,1,3,2,2,3,3
Tecno-economico,Sistemas agroflorestais,5,4,4,5,2,4,3,3,4,4
Tecno-economico,Restauro de zonas húmidas,4,4,4,5,2,4,3,3,5,4
Tecno-economico,Biomateriais,4,3,3,3,3,2,2,2,2,2
Tecno-economico,Biocarvão,3,3,3,3,3,3,2,2,3,2
Tecno-economico,Captura direta no ar,2,1,2,1,4,2,1,2,1,4
Tecno-economico,BECCS,2,1,2,3,5,2,1,2,1,4